
命令	                                  描述
Redis Setnx 命令	只有在 key 不存在时设置 key 的值。
Redis Getrange 命令	返回 key 中字符串值的子字符
Redis Setex 命令	将值 value 关联到 key ，并将 key 的过期时间设为 seconds (以秒为单位)。
Redis Getbit 命令	对 key 所储存的字符串值，获取指定偏移量上的位(bit)。
Redis Setbit 命令	对 key 所储存的字符串值，设置或清除指定偏移量上的位(bit)。
Redis Msetnx 命令	同时设置一个或多个 key-value 对，当且仅当所有给定 key 都不存在。
Redis Incrbyfloat 命令	将 key 所储存的值加上给定的浮点增量值（increment） 。
Redis Setrange 命令	用 value 参数覆写给定 key 所储存的字符串值，从偏移量 offset 开始。
Redis Psetex 命令	这个命令和 SETEX 命令相似，但它以毫秒为单位设置 key 的生存时间，而不是像 SETEX 命令那样，以秒为单位。
Redis Append 命令	如果 key 已经存在并且是一个字符串， APPEND 命令将 value 追加到 key 原来的值的末尾。
ttl 查看过期时间
